Date;Station;Puits;Numero Serie;Etat test;Defaut;Temps test;Sequence;Isolation Phase/Neutre;Isolation Phase/Neutre_Val;Isolation Phase/Neutre_Min;Isolation Phase/Neutre_Max;Resistance PullUp/Sens1;Resistance PullUp/Sens1_Val;Resistance PullUp/Sens1_Min;Resistance PullUp/Sens1_Max;Resistance PullUp/Sens2;Resistance PullUp/Sens2_Val;Resistance PullUp/Sens2_Min;Resistance PullUp/Sens2_Max;Isolation 5V/Masse;Isolation 5V/Masse_Val;Isolation 5V/Masse_Min;Isolation 5V/Masse_Max;Mesure tension DC 5V;Mesure tension DC 5V_Val;Mesure tension DC 5V_Min;Mesure tension DC 5V_Max;Mesure consommation DC repos;Mesure consommation DC repos_Val;Mesure consommation DC repos_Min;Mesure consommation DC repos_Max;Mesure tension DC 8.8V;Mesure tension DC 8.8V_Val;Mesure tension DC 8.8V_Min;Mesure tension DC 8.8V_Max;Mesure tension DC 5V;Mesure tension DC 5V_Val;Mesure tension DC 5V_Min;Mesure tension DC 5V_Max;Mesure consommation repos;Mesure consommation repos_Val;Mesure consommation repos_Min;Mesure consommation repos_Max;Frequence optique;Frequence optique_Val;Frequence optique_Min;Frequence optique_Max;Etat bas optique;Etat bas optique_Val;Etat bas optique_Min;Etat bas optique_Max;Etat haut optique;Etat haut optique_Val;Etat haut optique_Min;Etat haut optique_Max;Etat indéterminé optique;Etat indéterminé optique_Val;Etat indéterminé optique_Min;Etat indéterminé optique_Max;Mesure consommation moteur allumé en Sens1;Mesure consommation moteur allumé en Sens1_Val;Mesure consommation moteur allumé en Sens1_Min;Mesure consommation moteur allumé en Sens1_Max;Step Description;Step Description_Val;Step Description_Min;Step Description_Max;SensMoteurAttendu [In];Mesure consommation moteur éteint en sens 1;Mesure consommation moteur éteint en sens 1_Val;Mesure consommation moteur éteint en sens 1_Min;Mesure consommation moteur éteint en sens 1_Max;Step Description;Step Description_Val;Step Description_Min;Step Description_Max;Final Loop Index;Final Loop Index_Val;Final Loop Index_Min;Final Loop Index_Max;Mesure consommation moteur allumé en Sens2;Mesure consommation moteur allumé en Sens2_Val;Mesure consommation moteur allumé en Sens2_Min;Mesure consommation moteur allumé en Sens2_Max;Mesure consommation moteur éteint en sens 1;Mesure consommation moteur éteint en sens 1_Val;Mesure consommation moteur éteint en sens 1_Min;Mesure consommation moteur éteint en sens 1_Max;Mesure consommation repos multimètre 2;Mesure consommation repos multimètre 2_Val;Mesure consommation repos multimètre 2_Min;Mesure consommation repos multimètre 2_Max
2015/10/20 13:36:34;FRALS0SNRWS177;1;041552-01_G-15197KIT1KX42/;Failed;Isolation - Isolation Phase/Neutre | Mesure;23.046;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Failed;98999999999999993000000000000000000000.0;800000.0;2500000.0
2015/10/20 13:36:41;FRALS0SNRWS177;2;041552-01_G-15197KIT1KXXC/;Error;An exception occurred inside of the call to .NET member 'InitDevice';-17500, Operation Failed.];42.770;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1173723.0;800000.0;2500000.0;Passed;121036.5;110000.0;130000.0;Passed;121274.7;110000.0;130000.0;Passed;5007.9;4000.0;8000.0;Passed;4.994;4.750;5.250;Passed;0.010578;0.007000;0.013000
2015/10/20 13:38:53;FRALS0SNRWS177;2;041552-01_G-15197KIT1KX42/;Failed;Isolation - Isolation Phase/Neutre | Mesure;4.201;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Failed;98999999999999993000000000000000000000.0;800000.0;2500000.0
2015/10/20 13:43:10;FRALS0SNRWS177;2;041552-01_G-15197KIT1KXXC/;Error;An exception occurred inside of the call to .NET member 'InitDevice';-17500, Operation Failed.];27.582;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1175271.8;800000.0;2500000.0;Passed;121274.6;110000.0;130000.0;Passed;121364.4;110000.0;130000.0;Passed;5009.2;4000.0;8000.0;Passed;4.994;4.750;5.250;Passed;0.010567;0.007000;0.013000
2015/10/20 13:44:22;FRALS0SNRWS177;2;041552-01_G-15246KIT2EU31/;Error;An exception occurred inside of the call to .NET member 'InitDevice';-17500, Operation Failed.];15.890;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1303835.0;800000.0;2500000.0;Passed;121162.7;110000.0;130000.0;Passed;121550.7;110000.0;130000.0;Passed;5014.1;4000.0;8000.0;Passed;4.968;4.750;5.250;Passed;0.010646;0.007000;0.013000
2015/10/20 13:45:16;FRALS0SNRWS177;2;041552-01_G-15246KIT2EU31/;Error;An exception occurred inside of the call to .NET member 'InitDevice';-17500, Operation Failed.];19.658;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1257444.2;800000.0;2500000.0;Passed;129886.4;110000.0;130000.0;Passed;129427.7;110000.0;130000.0;Passed;5012.2;4000.0;8000.0;Passed;4.967;4.750;5.250;Passed;0.010628;0.007000;0.013000
2015/10/20 13:46:03;FRALS0SNRWS177;2;041552-01_G-15246KIT2EU31/;Error;An exception occurred inside of the call to .NET member 'InitDevice';-17500, Operation Failed.];20.434;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1317193.0;800000.0;2500000.0;Passed;120859.5;110000.0;130000.0;Passed;120944.4;110000.0;130000.0;Passed;5011.8;4000.0;8000.0;Passed;4.967;4.750;5.250;Passed;0.010548;0.007000;0.013000
2015/10/20 13:52:00;FRALS0SNRWS177;1;041552-01_G-15197KIT1KXXC/;Passed;;52.303;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1117302.2;800000.0;2500000.0;Passed;120182.7;110000.0;130000.0;Passed;120290.1;110000.0;130000.0;Passed;5011.9;4000.0;8000.0;Passed;4.995;4.750;5.250;Passed;0.010762;0.007000;0.013000;Passed;8.849;8.000;9.600;Passed;4.992;4.750;5.250;Passed;0.007909;0.006500;0.009500;Passed;53.46389584035;45;55;Passed;43.88481407339;38;61;Passed;56.07445272905;39;62;Passed;0.04073319755601;0;1;Passed;0.532012;0.450000;0.750000;{0.532012}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x5;0x3;0x5;1;Passed;0.008567;0.006000;0.010000;{0.008567}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.512965;0.450000;0.750000;Passed;0.008092;0.006000;0.010000;Passed;0.008095;0.006000;0.010000
2015/10/20 13:52:10;FRALS0SNRWS177;2;041552-01_G-15246KIT2EU31/;Passed;;66.667;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1120834.2;800000.0;2500000.0;Passed;120085.8;110000.0;130000.0;Passed;120150.8;110000.0;130000.0;Passed;5010.1;4000.0;8000.0;Passed;4.967;4.750;5.250;Passed;0.010614;0.007000;0.013000;Passed;8.899;8.000;9.600;Passed;4.965;4.750;5.250;Passed;0.007887;0.006500;0.009500;Passed;51.37869080183;45;55;Passed;42.17504548288;38;61;Passed;57.82495451712;39;62;Passed;0;0;1;Passed;0.532073;0.450000;0.750000;{0.532073}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008312;0.006000;0.010000;{0.008312}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.513917;0.450000;0.750000;Passed;0.008030;0.006000;0.010000;Passed;0.008059;0.006000;0.010000
2015/10/20 13:54:28;FRALS0SNRWS177;2;041552-01_G-15197KIT1KXXC/;Passed;;60.676;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1122399.0;800000.0;2500000.0;Passed;120094.4;110000.0;130000.0;Passed;120191.2;110000.0;130000.0;Passed;4991.6;4000.0;8000.0;Passed;4.993;4.750;5.250;Passed;0.009376;0.007000;0.013000;Passed;8.853;8.000;9.600;Passed;4.991;4.750;5.250;Passed;0.007939;0.006500;0.009500;Passed;51.97941012612;45;55;Passed;44.66972077643;38;61;Passed;55.33027922357;39;62;Passed;0;0;1;Passed;0.531920;0.450000;0.750000;{0.531920}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008419;0.006000;0.010000;{0.008419}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.513140;0.450000;0.750000;Passed;0.007903;0.006000;0.010000;Passed;0.007908;0.006000;0.010000
2015/10/20 13:54:23;FRALS0SNRWS177;1;041552-01_G-15246KIT2EU34/;Passed;;40.492;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1116364.6;800000.0;2500000.0;Passed;120072.4;110000.0;130000.0;Passed;120150.2;110000.0;130000.0;Passed;5018.6;4000.0;8000.0;Passed;4.992;4.750;5.250;Passed;0.010755;0.007000;0.013000;Passed;8.849;8.000;9.600;Passed;4.988;4.750;5.250;Passed;0.008003;0.006500;0.009500;Passed;53.60063874315;45;55;Passed;48.716086115;38;61;Passed;51.283913885;39;62;Passed;0;0;1;Passed;0.532043;0.450000;0.750000;{0.532043}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008755;0.006000;0.010000;{0.008755}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.512746;0.450000;0.750000;Passed;0.008122;0.006000;0.010000;Passed;0.008103;0.006000;0.010000
2015/10/20 13:55:55;FRALS0SNRWS177;2;041552-01_G-15246KIT2EU35/;Passed;;40.166;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1123508.8;800000.0;2500000.0;Passed;120916.8;110000.0;130000.0;Passed;121029.9;110000.0;130000.0;Passed;4980.3;4000.0;8000.0;Passed;4.977;4.750;5.250;Passed;0.010626;0.007000;0.013000;Passed;8.847;8.000;9.600;Passed;4.975;4.750;5.250;Passed;0.008156;0.006500;0.009500;Passed;51.96424873897;45;55;Passed;46.72977613883;38;61;Passed;53.22864381959;39;62;Passed;0.04158004158004;0;1;Passed;0.533003;0.450000;0.750000;{0.533003}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008907;0.006000;0.010000;{0.008907}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.513417;0.450000;0.750000;Passed;0.008256;0.006000;0.010000;Passed;0.008243;0.006000;0.010000
2015/10/20 13:56:09;FRALS0SNRWS177;1;041552-01_G-15246KIT2EU34/;Passed;;50.299;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1114741.8;800000.0;2500000.0;Passed;120013.6;110000.0;130000.0;Passed;120130.0;110000.0;130000.0;Passed;4995.2;4000.0;8000.0;Passed;4.990;4.750;5.250;Passed;0.010747;0.007000;0.013000;Passed;8.858;8.000;9.600;Passed;4.988;4.750;5.250;Passed;0.007799;0.006500;0.009500;Passed;52.84124617067;45;55;Passed;46.13260418694;38;61;Passed;53.7405583194;39;62;Passed;0.1268374936624;0;1;Passed;0.531285;0.450000;0.750000;{0.531285}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008286;0.006000;0.010000;{0.008286}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.512693;0.450000;0.750000;Passed;0.007719;0.006000;0.010000;Passed;0.007711;0.006000;0.010000
2015/10/20 14:01:54;FRALS0SNRWS177;1;041552-01_G-15246KIT2EU33/;Passed;;50.221;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1115172.6;800000.0;2500000.0;Passed;120134.1;110000.0;130000.0;Passed;120153.7;110000.0;130000.0;Passed;5016.4;4000.0;8000.0;Passed;4.951;4.750;5.250;Passed;0.010824;0.007000;0.013000;Passed;8.833;8.000;9.600;Passed;4.947;4.750;5.250;Passed;0.007838;0.006500;0.009500;Passed;52.6812862179;45;55;Passed;45.45186984615;38;61;Passed;54.54813015385;39;62;Passed;0;0;1;Passed;0.532127;0.450000;0.750000;{0.532127}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x5;0x3;0x5;1;Passed;0.008361;0.006000;0.010000;{0.008361}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.512304;0.450000;0.750000;Passed;0.008093;0.006000;0.010000;Passed;0.008055;0.006000;0.010000
2015/10/20 14:01:39;FRALS0SNRWS177;2;041552-01_G-15292KIT2H9N4/;Passed;;40.946;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1124052.3;800000.0;2500000.0;Passed;120150.5;110000.0;130000.0;Passed;120107.3;110000.0;130000.0;Passed;4983.5;4000.0;8000.0;Passed;5.008;4.750;5.250;Passed;0.010604;0.007000;0.013000;Passed;8.886;8.000;9.600;Passed;5.004;4.750;5.250;Passed;0.008241;0.006500;0.009500;Passed;52.78263229696;45;55;Passed;43.57159434508;38;61;Passed;56.38691187898;39;62;Passed;0.04149377593361;0;1;Passed;0.532903;0.450000;0.750000;{0.532903}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008362;0.006000;0.010000;{0.008362}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.513139;0.450000;0.750000;Passed;0.008258;0.006000;0.010000;Passed;0.008311;0.006000;0.010000
2015/10/20 14:03:03;FRALS0SNRWS177;1;041552-01_G-15246KIT2EU34/;Passed;;44.116;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1113778.2;800000.0;2500000.0;Passed;120164.0;110000.0;130000.0;Passed;120227.2;110000.0;130000.0;Passed;4977.6;4000.0;8000.0;Passed;4.991;4.750;5.250;Passed;0.010764;0.007000;0.013000;Passed;8.857;8.000;9.600;Passed;4.987;4.750;5.250;Passed;0.007932;0.006500;0.009500;Passed;52.76172340079;45;55;Passed;46.21072144389;38;61;Passed;53.74854535856;39;62;Passed;0.04073319755601;0;1;Passed;0.531193;0.450000;0.750000;{0.531193}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x5;0x3;0x5;1;Passed;0.008630;0.006000;0.010000;{0.008630}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.512130;0.450000;0.750000;Passed;0.007755;0.006000;0.010000;Passed;0.007716;0.006000;0.010000
2015/10/20 14:03:09;FRALS0SNRWS177;2;041552-01_G-15246KIT2EU33/;Failed;MainSequence - Mise sous tension Primaire;41.133;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1116773.0;800000.0;2500000.0;Passed;120042.7;110000.0;130000.0;Passed;120058.2;110000.0;130000.0;Passed;4981.0;4000.0;8000.0;Passed;4.949;4.750;5.250;Passed;0.010626;0.007000;0.013000
2015/10/20 14:04:42;FRALS0SNRWS177;1;041552-01_G-15246KIT2EU34/;Passed;;43.404;C:\BancTest\Distrib\Specific\Mi2\041552_xx_G_MI2_CA105_E----_V13.seq;Passed;1135426.5;800000.0;2500000.0;Passed;121781.5;110000.0;130000.0;Passed;123546.9;110000.0;130000.0;Passed;4979.6;4000.0;8000.0;Passed;4.990;4.750;5.250;Passed;0.010769;0.007000;0.013000;Passed;8.859;8.000;9.600;Passed;4.987;4.750;5.250;Passed;0.007835;0.006500;0.009500;Passed;52.62648700793;45;55;Passed;50.11090849421;38;61;Passed;49.80433206117;39;62;Passed;0.08475944462383;0;1;Passed;0.531378;0.450000;0.750000;{0.531378}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008709;0.006000;0.010000;{0.008709}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.512143;0.450000;0.750000;Passed;0.007807;0.006000;0.010000;Passed;0.007762;0.006000;0.010000
